movie_clip,valence,arousal,Fantasy,Romance,Drama,Comedy,Sport,Family,Sci-Fi,Biography,Crime
AboutTime_000,3.875,1.5,1,1,1,1,0,0,1,0,0
AboutTime_001,4.375,2.0,1,1,1,1,0,0,1,0,0
AboutTime_002,4.125,2.5,1,1,1,1,0,0,1,0,0
AboutTime_003,3.375,2.0,1,1,1,1,0,0,1,0,0
AboutTime_004,3.625,4.0,1,1,1,1,0,0,1,0,0
AboutTime_005,3.375,4.5,1,1,1,1,0,0,1,0,0
AboutTime_006,3.75,3.25,1,1,1,1,0,0,1,0,0
AboutTime_007,2.75,3.75,1,1,1,1,0,0,1,0,0
AboutTime_008,3.0,4.0,1,1,1,1,0,0,1,0,0
AboutTime_009,2.75,4.25,1,1,1,1,0,0,1,0,0
AboutTime_010,4.0,4.25,1,1,1,1,0,0,1,0,0
AboutTime_011,4.5,4.5,1,1,1,1,0,0,1,0,0
AboutTime_012,3.625,3.75,1,1,1,1,0,0,1,0,0
AboutTime_013,3.125,2.5,1,1,1,1,0,0,1,0,0
AboutTime_014,4.125,4.25,1,1,1,1,0,0,1,0,0
AboutTime_015,2.625,4.5,1,1,1,1,0,0,1,0,0
AboutTime_016,4.0,2.25,1,1,1,1,0,0,1,0,0
AboutTime_017,4.125,2.75,1,1,1,1,0,0,1,0,0
AboutTime_018,3.25,3.0,1,1,1,1,0,0,1,0,0
AboutTime_019,4.125,2.25,1,1,1,1,0,0,1,0,0
AboutTime_020,3.0,3.25,1,1,1,1,0,0,1,0,0
AboutTime_021,2.0,3.25,1,1,1,1,0,0,1,0,0
AboutTime_022,4.375,4.0,1,1,1,1,0,0,1,0,0
AboutTime_023,2.75,3.25,1,1,1,1,0,0,1,0,0
AboutTime_024,2.0,1.5,1,1,1,1,0,0,1,0,0
AboutTime_025,3.25,2.0,1,1,1,1,0,0,1,0,0
AboutTime_026,4.0,3.25,1,1,1,1,0,0,1,0,0
AboutTime_027,4.5,3.75,1,1,1,1,0,0,1,0,0
AboutTime_028,4.625,3.75,1,1,1,1,0,0,1,0,0
AboutTime_029,4.375,2.5,1,1,1,1,0,0,1,0,0
AboutTime_030,3.0,2.75,1,1,1,1,0,0,1,0,0
AboutTime_031,4.0,4.5,1,1,1,1,0,0,1,0,0
AboutTime_032,4.25,4.25,1,1,1,1,0,0,1,0,0
AboutTime_033,3.0,4.5,1,1,1,1,0,0,1,0,0
AboutTime_034,2.25,3.5,1,1,1,1,0,0,1,0,0
AboutTime_035,2.0,4.0,1,1,1,1,0,0,1,0,0
AboutTime_036,3.25,3.5,1,1,1,1,0,0,1,0,0
AboutTime_037,3.75,3.75,1,1,1,1,0,0,1,0,0
AboutTime_038,1.5,4.25,1,1,1,1,0,0,1,0,0
AboutTime_039,3.25,3.25,1,1,1,1,0,0,1,0,0
AboutTime_040,4.25,4.0,1,1,1,1,0,0,1,0,0
AboutTime_041,3.375,2.75,1,1,1,1,0,0,1,0,0
AboutTime_042,4.375,4.25,1,1,1,1,0,0,1,0,0
AboutTime_043,4.125,2.5,1,1,1,1,0,0,1,0,0
AboutTime_044,4.375,2.5,1,1,1,1,0,0,1,0,0
AboutTime_045,3.5,2.25,1,1,1,1,0,0,1,0,0
AboutTime_046,4.375,4.5,1,1,1,1,0,0,1,0,0
AboutTime_047,3.75,4.0,1,1,1,1,0,0,1,0,0
AboutTime_048,4.125,4.25,1,1,1,1,0,0,1,0,0
AboutTime_049,3.875,2.5,1,1,1,1,0,0,1,0,0
AboutTime_050,3.875,3.0,1,1,1,1,0,0,1,0,0
AboutTime_051,4.125,2.75,1,1,1,1,0,0,1,0,0
AboutTime_052,3.875,4.25,1,1,1,1,0,0,1,0,0
AboutTime_053,4.25,3.0,1,1,1,1,0,0,1,0,0
AboutTime_054,3.75,3.0,1,1,1,1,0,0,1,0,0
AboutTime_055,4.375,2.75,1,1,1,1,0,0,1,0,0
AboutTime_056,4.375,1.75,1,1,1,1,0,0,1,0,0
AboutTime_057,3.0,5.0,1,1,1,1,0,0,1,0,0
AboutTime_058,2.875,2.25,1,1,1,1,0,0,1,0,0
AboutTime_059,3.0,3.25,1,1,1,1,0,0,1,0,0
AboutTime_060,3.25,2.75,1,1,1,1,0,0,1,0,0
AboutTime_061,4.5,3.0,1,1,1,1,0,0,1,0,0
AboutTime_062,4.375,3.0,1,1,1,1,0,0,1,0,0
AboutTime_063,4.375,2.5,1,1,1,1,0,0,1,0,0
AboutTime_064,4.5,2.25,1,1,1,1,0,0,1,0,0
AboutTime_065,4.375,3.5,1,1,1,1,0,0,1,0,0
AboutTime_066,4.625,4.0,1,1,1,1,0,0,1,0,0
AboutTime_067,2.5,3.0,1,1,1,1,0,0,1,0,0
AboutTime_068,4.75,4.75,1,1,1,1,0,0,1,0,0
AboutTime_069,4.75,4.75,1,1,1,1,0,0,1,0,0
AboutTime_070,2.25,4.0,1,1,1,1,0,0,1,0,0
AboutTime_071,4.625,4.5,1,1,1,1,0,0,1,0,0
AboutTime_072,5.0,3.5,1,1,1,1,0,0,1,0,0
AboutTime_073,4.375,4.5,1,1,1,1,0,0,1,0,0
AboutTime_074,3.875,2.75,1,1,1,1,0,0,1,0,0
AboutTime_075,4.75,1.5,1,1,1,1,0,0,1,0,0
AboutTime_076,2.125,2.25,1,1,1,1,0,0,1,0,0
AboutTime_077,3.875,1.5,1,1,1,1,0,0,1,0,0
AboutTime_078,4.625,2.5,1,1,1,1,0,0,1,0,0
AboutTime_079,4.125,3.0,1,1,1,1,0,0,1,0,0
AboutTime_080,4.5,2.5,1,1,1,1,0,0,1,0,0
AboutTime_081,3.625,2.75,1,1,1,1,0,0,1,0,0
AboutTime_082,1.125,3.0,1,1,1,1,0,0,1,0,0
AboutTime_083,3.375,2.75,1,1,1,1,0,0,1,0,0
AboutTime_084,2.125,2.5,1,1,1,1,0,0,1,0,0
AboutTime_085,1.875,2.0,1,1,1,1,0,0,1,0,0
AboutTime_086,1.125,2.0,1,1,1,1,0,0,1,0,0
AboutTime_087,2.375,2.25,1,1,1,1,0,0,1,0,0
AboutTime_088,2.875,3.5,1,1,1,1,0,0,1,0,0
AboutTime_089,3.0,4.25,1,1,1,1,0,0,1,0,0
AboutTime_090,3.125,3.5,1,1,1,1,0,0,1,0,0
AboutTime_091,1.75,5.0,1,1,1,1,0,0,1,0,0
AboutTime_092,2.625,3.75,1,1,1,1,0,0,1,0,0
AboutTime_093,3.625,3.5,1,1,1,1,0,0,1,0,0
AboutTime_094,3.25,2.0,1,1,1,1,0,0,1,0,0
AboutTime_095,4.5,2.0,1,1,1,1,0,0,1,0,0
AboutTime_096,4.25,3.0,1,1,1,1,0,0,1,0,0
AboutTime_097,2.25,3.25,1,1,1,1,0,0,1,0,0
