movie_clip,valence,arousal,true_val,val_bin_pred,aro_bin_pred,audio_val,val_actual,aro_actual,video_val,,Music Probability,,Correct measure,Match true_val,Correct measure corresponding output,voice_ratio,voice_ratio_updated (>20%),audio_val_actual,
Gifted_000,0.34,0.56,low,0.68,0.7,high,0.8,0.88,high,,0.765,,audio_val,discarded,high,0,0,low,Accuracy = 403/941
Gifted_001,0.41,0.38,low,0.53,0.35,high,0.62,0.69,high,,0.764,,audio_val,discarded,high,0,0,low,42.83%
Gifted_002,0.34,0.5,low,0.38,0.58,low,0.7,0.74,high,,0.799,,audio_val,stays,low,0,0,low,
Gifted_003,0.41,0.56,low,0.37,0.64,low,0.67,0.78,high,,0.802,,audio_val,stays,low,0,0,low,
Gifted_004,0.47,0.31,low,0.62,0.42,high,0.8,0.88,high,,0.592,,audio_val,discarded,high,0,0,low,
Gifted_005,0.34,0.5,low,0.41,0.55,low,0.67,0.78,high,,0.049,,video_val,stays,high,0.674932896,0.674932896,high,
Gifted_006,0.44,0.56,low,0.35,0.42,low,0.67,0.78,high,,0.053,,video_val,stays,high,0.411786541,0.411786541,high,
Gifted_007,0.72,0.19,high,0.68,0.46,high,0.8,0.88,high,,0.753,,audio_val,stays,high,0,0,low,
Gifted_008,0.78,0.19,high,0.53,0.2,high,0.8,0.88,high,,0.637,,audio_val,stays,high,0,0,low,
Gifted_009,0.25,0.5,low,0.5,0.4,low,0.8,0.78,high,,0,,video_val,stays,high,0.150270755,0,low,
Gifted_010,0.5,0.5,low,0.46,0.66,low,0.67,0.78,high,,0.03,,video_val,stays,high,0.185239551,0,low,
Gifted_011,0.59,0.56,high,0.73,0.44,high,0.67,0.78,high,,0.063,,video_val,stays,high,0.591252859,0.591252859,high,
Gifted_012,0.47,0.44,low,0.57,0.47,high,0.8,0.88,high,,0.414,,video_val,discarded,high,0.653206341,0.653206341,low,
Gifted_013,0.38,0.5,low,0.61,0.55,high,0.8,0.78,high,,0.116,,video_val,discarded,high,0.792095019,0.792095019,low,
Gifted_014,0.25,0.5,low,0.37,0.47,low,0.67,0.78,high,,0.117,,video_val,stays,high,0.680659317,0.680659317,high,
Gifted_015,0.28,0.5,low,0.39,0.54,low,0.7,0.74,high,,0.027,,video_val,stays,high,0.276086478,0.276086478,high,
Gifted_016,0.31,0.56,low,0.5,0.44,low,0.67,0.78,high,,0.299,,video_val,stays,high,0.656709217,0.656709217,high,
Gifted_017,0.31,0.69,low,0.59,0.43,high,0.8,0.88,high,,0.244,,video_val,discarded,high,0.691428761,0.691428761,low,
Gifted_018,0.22,0.81,low,0.54,0.4,high,0.67,0.78,high,,0.505,,audio_val,discarded,high,0,0,low,
Gifted_019,0.16,0.88,low,0.6,0.5,high,0.67,0.78,high,,0.288,,video_val,discarded,high,0.78862778,0.78862778,low,
Gifted_020,0.16,0.81,low,0.4,0.49,low,0.67,0.78,high,,0.235,,video_val,stays,high,0.612881622,0.612881622,high,
Gifted_021,0.22,0.5,low,0.44,0.29,low,0.67,0.78,high,,0.027,,video_val,stays,high,0.526783099,0.526783099,high,
